epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9076,2.08668,3.21344,5.18018,2.25034,0,0.09041,0.17616,0.09833,0.03133,0.06172,0.17499,0.09861,0.03168,1.89513,0.99863,4.11252,1.81933,0,0.000330986,0.000330986,0.000330986
2,86.7864,1.81646,1.85087,4.03166,1.81272,0,0.18816,0.31253,0.17602,0.06874,0.19013,0.32036,0.19168,0.07146,1.94864,1.18853,4.48941,1.93395,0,0.000651166,0.000651166,0.000651166
3,115.728,1.77302,1.77306,3.66722,1.77142,0,0.23788,0.29563,0.18287,0.07749,0.25232,0.31477,0.19594,0.08601,1.91461,1.20262,3.64255,1.76375,0,0.000958146,0.000958146,0.000958146
4,145.429,1.73554,1.75627,3.2662,1.70477,0,0.34836,0.36239,0.34995,0.13723,0.35199,0.36862,0.35751,0.14725,1.93665,0.94739,3.25289,1.71422,0,0.0009406,0.0009406,0.0009406
5,175.287,1.67492,1.76692,2.87611,1.61266,0,0.35008,0.28377,0.31741,0.14606,0.35306,0.28875,0.32291,0.14753,1.9926,0.90505,3.41928,1.86309,0,0.0009208,0.0009208,0.0009208
6,205.331,1.65124,1.75095,2.67062,1.61046,0,0.60736,0.26028,0.32991,0.12146,0.61902,0.2643,0.3347,0.12481,2.00943,0.92619,2.93732,1.77365,0,0.000901,0.000901,0.000901
7,235.139,1.66526,1.70225,2.4596,1.57528,0,0.36348,0.42454,0.3267,0.14566,0.36588,0.42561,0.33331,0.15394,1.92227,0.92462,3.14773,1.73089,0,0.0008812,0.0008812,0.0008812
8,264.744,1.58047,1.64641,2.17911,1.49631,0,0.36002,0.48762,0.47222,0.2239,0.38494,0.47189,0.48065,0.24097,1.86991,1.15747,2.66254,1.62112,0,0.0008614,0.0008614,0.0008614
9,294.013,1.55122,1.60982,2.02619,1.48653,0,0.30767,0.44369,0.41015,0.1943,0.31203,0.45724,0.41545,0.20119,1.85214,0.93613,3.13577,1.70365,0,0.0008416,0.0008416,0.0008416
10,322.874,1.5365,1.58495,1.89111,1.48291,0,0.59875,0.46523,0.5758,0.27802,0.59113,0.462,0.57569,0.29705,1.85528,0.88732,2.31119,1.57659,0,0.0008218,0.0008218,0.0008218
11,352.154,1.47513,1.59248,1.78349,1.43857,0,0.38723,0.3266,0.39114,0.18479,0.42589,0.31359,0.40152,0.19789,1.9336,0.84292,2.8854,1.74698,0,0.000802,0.000802,0.000802
12,381.327,1.44745,1.53348,1.6479,1.4003,0,0.45523,0.51269,0.51742,0.25299,0.46052,0.51486,0.52286,0.26229,1.86656,0.81922,2.29264,1.66998,0,0.0007822,0.0007822,0.0007822
13,410.378,1.42053,1.58527,1.55067,1.39138,0,0.41896,0.38635,0.42523,0.1741,0.41921,0.39708,0.44046,0.18682,2.03699,0.81752,2.6302,1.73134,0,0.0007624,0.0007624,0.0007624
14,439.612,1.41731,1.54936,1.46811,1.39595,0,0.67513,0.39301,0.53215,0.25196,0.67202,0.3983,0.53375,0.25993,1.89019,0.88818,2.25541,1.74709,0,0.0007426,0.0007426,0.0007426
